",,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced"
"Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA"
"110,Hawaii NCAA,32,24,8,.750,4.85,-3.59,,14,6,,16,3,,6,5,,2548,2231,,72.1,109.6,.429,.401,.566,54.5,51.1,9.1,10.1,.522,16.1,32.3,.318"
"111,High Point NCAA,34,30,4,.882,6.76,-7.89,,15,1,,17,1,,7,2,,3059,2389,,71.8,124.5,.433,.420,.603,51.5,53.6,15.1,11.4,.566,11.1,33.1,.322"
"112,Hofstra NCAA,34,24,10,.706,4.48,-2.46,,12,6,,10,2,,9,8,,2571,2246,,65.6,114.4,.319,.437,.557,53.7,49.0,7.5,10.6,.522,13.5,35.5,.238"
"113,Holy Cross,33,11,22,.333,-13.67,-6.80,,5,13,,6,8,,4,14,,2251,2418,,66.1,103.3,.319,.374,.535,47.7,45.0,8.7,5.1,.496,13.7,23.0,.241"
"114,Houston NCAA,34,28,6,.824,26.23,11.93,,14,4,,15,1,,6,3,,2623,2137,,64.9,118.4,.269,.408,.554,52.2,52.9,11.9,12.5,.521,10.9,35.9,.208"
"115,Houston Christian,32,12,20,.375,-9.76,-3.63,,8,14,,9,5,,3,13,,2147,2309,,65.2,102.5,.364,.365,.532,48.8,58.8,10.2,11.2,.497,16.5,30.5,.254"
"116,Howard NCAA,33,23,10,.697,-4.64,-11.85,,11,3,,11,4,,7,6,,2556,2236,,69.9,110.4,.450,.340,.562,53.6,62.2,12.3,10.1,.517,16.4,37.2,.329"
"117,Idaho NCAA,35,21,14,.600,-0.05,-2.70,,9,9,,9,4,,7,9,,2753,2540,,69.6,112.7,.340,.468,.565,53.1,46.7,8.4,6.4,.531,13.2,30.0,.250"
"118,Idaho State,33,13,20,.394,-5.54,-1.61,,5,13,,8,6,,3,12,,2459,2513,,66.9,111.0,.382,.412,.560,53.1,46.7,7.8,12.0,.520,14.3,34.2,.282"
"119,Illinois NCAA,32,24,8,.750,26.45,11.89,,15,5,,14,3,,8,2,,2700,2234,,66.2,125.5,.329,.507,.588,56.7,51.2,5.6,12.6,.551,11.0,38.7,.260"
"120,Illinois State,32,20,12,.625,6.30,0.85,,12,8,,13,2,,5,7,,2404,2190,,67.4,111.0,.314,.423,.567,52.5,50.2,8.5,6.3,.541,14.6,29.4,.221"
"121,Illinois-Chicago,34,19,15,.559,3.81,0.46,,12,8,,9,5,,7,8,,2567,2379,,67.2,110.7,.363,.326,.546,52.8,54.1,11.7,11.7,.507,14.8,37.0,.265"
"122,Incarnate Word,31,12,19,.387,-7.09,-2.51,,7,15,,9,6,,2,12,,2302,2285,,66.3,112.0,.330,.392,.552,51.3,45.0,8.1,7.0,.521,14.2,34.1,.237"
"123,Indiana,32,18,14,.563,16.70,10.70,,9,11,,14,4,,3,8,,2501,2309,,66.6,116.0,.350,.505,.598,50.0,62.5,6.9,7.4,.561,13.5,26.9,.273"
"124,Indiana State,32,11,21,.344,-2.70,0.70,,4,16,,8,7,,3,12,,2354,2383,,68.9,104.7,.282,.449,.557,49.4,64.7,8.8,7.9,.536,17.2,27.4,.190"
"125,Iona,32,18,14,.563,-7.27,-7.99,,10,10,,11,3,,6,8,,2363,2340,,68.4,105.8,.293,.459,.546,48.8,53.7,9.5,8.1,.519,15.1,27.8,.207"
"126,Iowa NCAA,33,21,12,.636,19.00,9.76,,10,10,,14,3,,3,8,,2482,2177,,63.4,118.2,.345,.416,.600,50.8,58.0,11.2,6.7,.566,13.4,30.1,.266"
"127,Iowa State NCAA,34,27,7,.794,27.15,10.50,,12,6,,16,1,,5,5,,2781,2215,,68.2,120.0,.340,.388,.585,53.5,58.4,13.2,8.6,.565,12.8,35.3,.229"
"128,IU Indy,32,7,25,.219,-12.45,-4.15,,3,17,,5,9,,2,15,,2673,2825,,76.1,109.3,.211,.429,.551,45.9,64.0,11.6,8.4,.529,13.7,29.4,.154"
